Ssa01	NC_027300.1
Ssa02	NC_027301.1
Ssa03	NC_027302.1
Ssa04	NC_027303.1
Ssa05	NC_027304.1
Ssa06	NC_027305.1
Ssa07	NC_027306.1
Ssa08	NC_027307.1
Ssa09	NC_027308.1
Ssa10	NC_027309.1
Ssa11	NC_027310.1
Ssa12	NC_027311.1
Ssa13	NC_027312.1
Ssa14	NC_027313.1
Ssa15	NC_027314.1
Ssa16	NC_027315.1
Ssa17	NC_027316.1
Ssa18	NC_027317.1
Ssa19	NC_027318.1
Ssa20	NC_027319.1
Ssa21	NC_027320.1
Ssa22	NC_027321.1
Ssa23	NC_027322.1
Ssa24	NC_027323.1
Ssa25	NC_027324.1
Ssa26	NC_027325.1
Ssa27	NC_027326.1
Ssa28	NC_027327.1
Ssa29	NC_027328.1
